song,artist,album_type,is_explicit,total_days_on_chart,total_reentries,avg_gap_before_reentry,avg_popularity,avg_duration_min,reentry_frequency,fandom_intensity_score
Sticky,KISS OF LIFE,single,False,109,3,2.0,79.59633027522936,2.6199999999999997,0.83,61.61
Still With You,Jung Kook,single,False,109,1,3.0,86.29357798165138,4.0,0.28,63.25
Stinky Kiss (Intro),Beenzino,album,True,2,0,0.0,43.5,2.79,0.0,15.82
Sudden Shower,ECLIPSE,single,False,77,4,3.2,77.01298701298701,3.88,1.56,51.45
Sugarcoat (NATTY Solo),KISS OF LIFE,single,False,17,3,3.0,73.6470588235294,3.0,5.29,31.93
Summer (Feat. BE’O),Paul Blanco,single,True,23,0,0.0,66.91304347826087,3.33,0.0,30.32
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,album,False,23,5,15.2,88.08695652173913,2.63,6.52,39.48
Super,SEVENTEEN,single,False,79,2,3.0,87.54430379746836,3.3400000000000003,0.76,55.04
Super Bowl,Stray Kids,album,False,1,0,0.0,69.0,3.05,0.0,24.45
Super Lady,(G)I-DLE,album,False,14,1,3.0,78.07142857142857,2.54,2.14,31.88
Super Shy,NewJeans,single,False,410,6,5.8,87.41951219512195,2.58,0.44,155.7
Super Tuna,Jin,single,False,8,0,0.0,83.625,1.91,0.0,31.67
Supernatural,NewJeans,single,False,157,2,2.0,79.71337579617834,3.18,0.38,75.7
Supernatural (Instrumental),NewJeans,single,False,6,0,0.0,45.5,3.18,0.0,17.72
Supernova,aespa,album,False,178,3,2.0,71.76404494382022,2.9799999999999995,0.51,79.57
Supernova,aespa,single,False,16,0,0.0,69.1875,2.98,0.0,29.02
Supernova,aespa & Grimes & Flava D,single,False,1,0,0.0,0.0,2.98,0.0,0.3
Supernova - Japanese Version,KANGDANIEL,single,False,10,0,0.0,58.6,3.47,0.0,23.51
Supersonic,fromis_9,single,False,105,0,0.0,71.05714285714286,2.9,0.0,56.37
Swan Song,LE SSERAFIM,single,False,24,1,2.0,77.375,2.62,1.25,34.63
Sweet Night,V,single,False,23,2,3.0,79.91304347826087,3.57,2.61,35.57
Sweet Venom,ENHYPEN,album,False,1,0,0.0,0.0,2.48,0.0,0.3
